term,coef,std_err_hc1,t_stat_hc1,n_obs,r2,ma_window,version,return_col
high_vol_x_activity_score,-2.4983677195559877e-05,0.0001694417882267376,-0.14744696368600707,36697,9.984687967934391e-05,20,long_flat,net_map_vs_zero
const,-2.412964679573824e-05,8.198574457376036e-05,-0.29431515102030265,36697,3.641441913670995e-05,20,long_short,net_strategy_return
high_vol_dummy,0.00014994802740265665,0.00020055766457969314,0.7476554322513744,36697,3.641441913670995e-05,20,long_short,net_strategy_return
activity_score,9.513044982991327e-05,9.560919696326259e-05,0.9949926665158241,36697,3.641441913670995e-05,20,long_short,net_strategy_return
high_vol_x_activity_score,-6.020615589327504e-05,0.00022501022235187575,-0.26757075862590535,36697,3.641441913670995e-05,20,long_short,net_strategy_return
const,-0.0002794585821843163,0.00011099363770928476,-2.5177891990194605,36697,2.1251195589822025e-05,20,long_short,net_map_vs_passive
high_vol_dummy,0.00011734447519121467,0.00028443711156906065,0.41254980597960306,36697,2.1251195589822025e-05,20,long_short,net_map_vs_passive
activity_score,-7.03115340967863e-05,0.00011947151871948504,-0.5885213049134775,36697,2.1251195589822025e-05,20,long_short,net_map_vs_passive
high_vol_x_activity_score,-7.044495739542999e-05,0.0002961198027188465,-0.2378934361992486,36697,2.1251195589822025e-05,20,long_short,net_map_vs_passive
const,-2.412964679573824e-05,8.198574457376036e-05,-0.29431515102030265,36697,3.641441913670995e-05,20,long_short,net_map_vs_zero
high_vol_dummy,0.00014994802740265665,0.00020055766457969314,0.7476554322513744,36697,3.641441913670995e-05,20,long_short,net_map_vs_zero
activity_score,9.513044982991327e-05,9.560919696326259e-05,0.9949926665158241,36697,3.641441913670995e-05,20,long_short,net_map_vs_zero
high_vol_x_activity_score,-6.020615589327504e-05,0.00022501022235187575,-0.26757075862590535,36697,3.641441913670995e-05,20,long_short,net_map_vs_zero
const,0.0001813353462009441,6.263443720844725e-05,2.8951381106444773,36697,0.0002358251652052612,60,long_flat,net_strategy_return
high_vol_dummy,-1.8376880210138665e-05,0.00014713276952484466,-0.12489998162534123,36697,0.0002358251652052612,60,long_flat,net_strategy_return
activity_score,0.00024159344616856316,7.654055922786011e-05,3.1564107788831675,36697,0.0002358251652052612,60,long_flat,net_strategy_return
high_vol_x_activity_score,-5.858548934096909e-05,0.00017095455721581306,-0.34269627142498904,36697,0.0002358251652052612,60,long_flat,net_strategy_return
const,-7.399358918763402e-05,5.278454949568063e-05,-1.4018039349504903,36697,2.3650078257997365e-05,60,long_flat,net_map_vs_passive
high_vol_dummy,-5.098043242158088e-05,0.00013628579467213226,-0.374070038218043,36697,2.3650078257997365e-05,60,long_flat,net_map_vs_passive
activity_score,7.61514622418637e-05,5.708655359972139e-05,1.3339649609226956,36697,2.3650078257997365e-05,60,long_flat,net_map_vs_passive
high_vol_x_activity_score,-6.882429084312431e-05,0.00014632564521107515,-0.47035016140776337,36697,2.3650078257997365e-05,60,long_flat,net_map_vs_passive
const,0.0001813353462009441,6.263443720844725e-05,2.8951381106444773,36697,0.0002358251652052612,60,long_flat,net_map_vs_zero
high_vol_dummy,-1.8376880210138665e-05,0.00014713276952484466,-0.12489998162534123,36697,0.0002358251652052612,60,long_flat,net_map_vs_zero
activity_score,0.00024159344616856316,7.654055922786011e-05,3.1564107788831675,36697,0.0002358251652052612,60,long_flat,net_map_vs_zero
high_vol_x_activity_score,-5.858548934096909e-05,0.00017095455721581306,-0.34269627142498904,36697,0.0002358251652052612,60,long_flat,net_map_vs_zero
const,0.00010734175701331011,8.192495258367428e-05,1.3102449696711915,36697,0.00020023792533108153,60,long_short,net_strategy_return
high_vol_dummy,-6.935731263171954e-05,0.00020056711932934894,-0.34580599683355223,36697,0.00020023792533108153,60,long_short,net_strategy_return
activity_score,0.0003177449084104268,9.550155346473115e-05,3.3271176947689174,36697,0.00020023792533108153,60,long_short,net_strategy_return
high_vol_x_activity_score,-0.00012740978018409323,0.0002250297810187607,-0.56619074865238,36697,0.00020023792533108153,60,long_short,net_strategy_return
const,-0.00014798717837526804,0.00010556909899136126,-1.4018039349504903,36697,2.3650078257997365e-05,60,long_short,net_map_vs_passive
high_vol_dummy,-0.00010196086484316176,0.0002725715893442645,-0.374070038218043,36697,2.3650078257997365e-05,60,long_short,net_map_vs_passive
activity_score,0.0001523029244837274,0.00011417310719944278,1.3339649609226956,36697,2.3650078257997365e-05,60,long_short,net_map_vs_passive
high_vol_x_activity_score,-0.00013764858168624863,0.0002926512904221503,-0.47035016140776337,36697,2.3650078257997365e-05,60,long_short,net_map_vs_passive
const,0.00010734175701331011,8.192495258367428e-05,1.3102449696711915,36697,0.00020023792533108153,60,long_short,net_map_vs_zero
high_vol_dummy,-6.935731263171954e-05,0.00020056711932934894,-0.34580599683355223,36697,0.00020023792533108153,60,long_short,net_map_vs_zero
activity_score,0.0003177449084104268,9.550155346473115e-05,3.3271176947689174,36697,0.00020023792533108153,60,long_short,net_map_vs_zero
high_vol_x_activity_score,-0.00012740978018409323,0.0002250297810187607,-0.56619074865238,36697,0.00020023792533108153,60,long_short,net_map_vs_zero
const,0.0001885108708381432,6.23774112005275e-05,3.0221015462172476,36681,0.0002552172653634832,120,long_flat,net_strategy_return
high_vol_dummy,-0.00022630898266505785,0.00014682224644577696,-1.5413807385697247,36681,0.0002552172653634832,120,long_flat,net_strategy_return
activity_score,0.00024626955714078806,7.682126706881954e-05,3.2057471392676984,36681,0.0002552172653634832,120,long_flat,net_strategy_return
high_vol_x_activity_score,-9.496972473741332e-05,0.00016916451252279715,-0.5614045364545055,36681,0.0002552172653634832,120,long_flat,net_strategy_return
const,-6.0093387687866275e-05,5.300010110673085e-05,-1.1338353405562578,36681,0.00013586953309296934,120,long_flat,net_map_vs_passive
high_vol_dummy,-0.0002524677410575999,0.0001365799846767521,-1.8484973596616139,36681,0.00013586953309296934,120,long_flat,net_map_vs_passive
activity_score,8.150089778900018e-05,5.6629059688099355e-05,1.4392062703829014,36681,0.00013586953309296934,120,long_flat,net_map_vs_passive
high_vol_x_activity_score,-0.00010474997514624271,0.0001483421505705713,-0.7061376334598146,36681,0.00013586953309296934,120,long_flat,net_map_vs_passive
const,0.0001885108708381432,6.23774112005275e-05,3.0221015462172476,36681,0.0002552172653634832,120,long_flat,net_map_vs_zero
high_vol_dummy,-0.00022630898266505785,0.00014682224644577696,-1.5413807385697247,36681,0.0002552172653634832,120,long_flat,net_map_vs_zero
activity_score,0.00024626955714078806,7.682126706881954e-05,3.2057471392676984,36681,0.0002552172653634832,120,long_flat,net_map_vs_zero
high_vol_x_activity_score,-9.496972473741332e-05,0.00016916451252279715,-0.5614045364545055,36681,0.0002552172653634832,120,long_flat,net_map_vs_zero
const,0.00012861000420619475,8.184757901875211e-05,1.5713354719597619,36681,0.0003171655498519499,120,long_short,net_strategy_return
high_vol_dummy,-0.0004788192150773525,0.00020052115481760058,-2.3878738156724624,36681,0.0003171655498519499,120,long_short,net_strategy_return
activity_score,0.0003278786125801182,9.541873616490506e-05,3.4362078744521423,36681,0.0003171655498519499,120,long_short,net_strategy_return
high_vol_x_activity_score,-0.0001998599675264743,0.0002249514191609925,-0.8884583536831976,36681,0.0003171655498519499,120,long_short,net_strategy_return
const,-0.00011999425431981471,0.00010600012897566544,-1.1320198897810956,36681,0.0001359212500254836,120,long_short,net_map_vs_passive
high_vol_dummy,-0.0005049779734698944,0.00027315943900085225,-1.8486565037509792,36681,0.0001359212500254836,120,long_short,net_map_vs_passive
activity_score,0.0001631099532283302,0.00011325801851263841,1.4401625189136507,36681,0.0001359212500254836,120,long_short,net_map_vs_passive
high_vol_x_activity_score,-0.00020964021793530368,0.0002966840885979553,-0.7066109238483391,36681,0.0001359212500254836,120,long_short,net_map_vs_passive
const,0.00012861000420619475,8.184757901875211e-05,1.5713354719597619,36681,0.0003171655498519499,120,long_short,net_map_vs_zero
high_vol_dummy,-0.0004788192150773525,0.00020052115481760058,-2.3878738156724624,36681,0.0003171655498519499,120,long_short,net_map_vs_zero
activity_score,0.0003278786125801182,9.541873616490506e-05,3.4362078744521423,36681,0.0003171655498519499,120,long_short,net_map_vs_zero
high_vol_x_activity_score,-0.0001998599675264743,0.0002249514191609925,-0.8884583536831976,36681,0.0003171655498519499,120,long_short,net_map_vs_zero
