ma_window,version,return_col,n_obs,high_minus_low_activity_hml_mean_daily,high_minus_low_activity_hml_mean_ann,high_minus_low_activity_hml_vol_daily,high_minus_low_activity_hml_vol_ann,high_minus_low_activity_hml_sharpe,high_minus_low_activity_hml_t_stat,min_daily,max_daily,high_minus_low_activity_hml_max_drawdown,high_activity_hml_mean_ann,low_activity_hml_mean_ann,mid_activity_hml_mean_ann,activity_effect_flag
10,long_flat,gross_strategy_return,1554,3.3601233793741486e-05,0.008467510916022854,0.017312695624041245,0.274830522872216,0.030809936347426268,0.07650961875923508,-0.07992725761658596,0.10075932666261232,-0.6003487377935969,0.04187458847199536,0.012643359755289948,-0.03200605773123632,WEAK_ENHANCEMENT
10,long_flat,net_strategy_return,1554,4.01507680218472e-05,0.010117993541505495,0.017313585355615828,0.2748446469230956,0.03681350048027901,0.0914181339155655,-0.07992725761658596,0.10088432666261232,-0.5956307969705628,0.04427469020139517,0.012476684666861446,-0.031843375515492885,WEAK_ENHANCEMENT
10,long_flat,passive_return,1554,-5.833616403848517e-05,-0.014700713337698264,0.022294761572843016,0.35391836796733117,-0.041537017200122345,-0.10314793625474741,-0.1256348357059581,0.12752259528158205,-0.7969560291969976,0.046723593269165455,-0.004674987869143221,0.02316136382991125,WEAK_ATTENUATION
10,long_flat,gross_map_vs_passive,1554,9.193739783222666e-05,0.023168224253721118,0.01577540660833197,0.2504268162994279,0.09251494946140097,0.2297402835567032,-0.09981650003955972,0.11074827758596362,-0.6798157972717249,-0.004849004797170099,0.017318347624433156,-0.055167421561147637,WEAK_ENHANCEMENT
10,long_flat,net_map_vs_passive,1554,9.848693206033227e-05,0.02481870687920373,0.015779589381069332,0.2504932157581505,0.09907935751507947,0.24604152974895477,-0.09994150003955972,0.11137327758596362,-0.6777379137094859,-0.0024489030677703047,0.017151672536004654,-0.055004739345404174,WEAK_ENHANCEMENT
10,long_flat,net_map_vs_zero,1554,4.01507680218472e-05,0.010117993541505495,0.017313585355615828,0.2748446469230956,0.03681350048027901,0.0914181339155655,-0.07992725761658596,0.10088432666261232,-0.5956307969705628,0.04427469020139517,0.012476684666861446,-0.031843375515492885,WEAK_ENHANCEMENT
10,long_short,gross_strategy_return,1554,0.0001255386316259683,0.03163573516974401,0.02449753810626456,0.38888636137502536,0.08134956201057372,0.20201352918989968,-0.13082944837479749,0.14689038575140193,-0.7934903775089108,0.037025583674825266,0.029961707379723108,-0.08717347929238392,WEAK_ENHANCEMENT
10,long_short,net_strategy_return,1554,0.00013863770008217956,0.034936700420709246,0.024504182586097097,0.38899183922239505,0.08981345338901874,0.22303171940237312,-0.13032944837479749,0.14689038575140193,-0.7921910134401753,0.04182578713362487,0.02962835720286614,-0.08684811486089707,WEAK_ENHANCEMENT
10,long_short,passive_return,1554,-5.833616403848517e-05,-0.014700713337698264,0.022294761572843016,0.35391836796733117,-0.041537017200122345,-0.10314793625474741,-0.1256348357059581,0.12752259528158205,-0.7969560291969976,0.046723593269165455,-0.004674987869143221,0.02316136382991125,WEAK_ATTENUATION
10,long_short,gross_map_vs_passive,1554,0.00018387479566445332,0.046336448507442236,0.03155081321666394,0.5008536325988558,0.09251494946140097,0.2297402835567032,-0.19963300007911944,0.22149655517192723,-0.9171029399923012,-0.009698009594340197,0.03463669524886631,-0.11033484312229527,WEAK_ENHANCEMENT
