ma_window,version,activity_bucket,return_col,n_obs,mean_daily,mean_ann,vol_daily,vol_ann,sharpe,t_stat,min_daily,max_daily,max_drawdown
10,long_flat,Low,gross_strategy_return,1979,5.0172062520991856e-05,0.012643359755289948,0.011074852167454814,0.17580782785134058,0.07191579527380834,0.20153334540272044,-0.08484941651896569,0.06779409159460689,-0.47318090981310623
10,long_flat,Low,net_strategy_return,1979,4.951065343992637e-05,0.012476684666861446,0.011078323905394176,0.17586293998256902,0.07094550260616646,0.19881424417349694,-0.08459941651896569,0.06762742492794022,-0.47432419100154943
10,long_flat,Low,passive_return,1979,-1.855153916326675e-05,-0.004674987869143221,0.01605947894351754,0.25493632481895434,-0.01833786484708765,-0.051389145265038697,-0.09455454391431833,0.11445135854247973,-0.704282939523057
10,long_flat,Low,gross_map_vs_passive,1979,6.872360168425855e-05,0.017318347624433156,0.011811120554768094,0.18749572615751772,0.09236662605249879,0.25884376416958993,-0.11445135854247973,0.08750729275250896,-0.5375211134681555
10,long_flat,Low,net_map_vs_passive,1979,6.806219260319306e-05,0.017151672536004654,0.01181026260460449,0.18748210662089662,0.09148431733107558,0.2563712248946029,-0.11445135854247973,0.08763229275250896,-0.5373717998267534
10,long_flat,Low,net_map_vs_zero,1979,4.951065343992637e-05,0.012476684666861446,0.011078323905394176,0.17586293998256902,0.07094550260616646,0.19881424417349694,-0.08459941651896569,0.06762742492794022,-0.47432419100154943
10,long_flat,Mid,gross_strategy_return,2058,-0.00012700816560014413,-0.03200605773123632,0.012868644689676818,0.20428340135602094,-0.15667478375032937,-0.44773548837407173,-0.10083727702948675,0.09996077945669224,-0.6403936944513543
10,long_flat,Mid,net_strategy_return,2058,-0.0001263626012519559,-0.031843375515492885,0.012869047551916857,0.20428979659581953,-0.15587354848903162,-0.44544576789428253,-0.10083727702948675,0.09946077945669224,-0.6403720435352733
10,long_flat,Mid,passive_return,2058,9.191017392821926e-05,0.02316136382991125,0.017675666879898747,0.28059251292859844,0.08254448270259106,0.235890507653897,-0.10723202902857495,0.1204464867919457,-0.6593551736593728
10,long_flat,Mid,gross_map_vs_passive,2058,-0.00021891833952836364,-0.055167421561147637,0.012317541902986846,0.1955349158335229,-0.2821359107450498,-0.8062705226809214,-0.1204464867919457,0.10723202902857495,-0.5346890292777736
10,long_flat,Mid,net_map_vs_passive,2058,-0.0002182727751801753,-0.055004739345404174,0.012318766291820073,0.1955543524036875,-0.28127596583407455,-0.8038130254023301,-0.1199464867919457,0.10723202902857495,-0.5342812681649358
10,long_flat,Mid,net_map_vs_zero,2058,-0.0001263626012519559,-0.031843375515492885,0.012869047551916857,0.20428979659581953,-0.15587354848903162,-0.44544576789428253,-0.10083727702948675,0.09946077945669224,-0.6403720435352733
10,long_flat,High,gross_strategy_return,1966,0.00016616900187299744,0.04187458847199536,0.014206061520238619,0.22551423535341333,0.1856849010279632,0.5186424699627246,-0.07676115410450324,0.10394829178267337,-0.5412625680614016
10,long_flat,High,net_strategy_return,1966,0.00017569321508490148,0.04427469020139517,0.014206373690602939,0.2255191909043174,0.1963233817213361,0.5483571525939782,-0.07726115410450324,0.10394829178267337,-0.5324995220357006
10,long_flat,High,passive_return,1966,0.00018541108440145023,0.046723593269165455,0.018296231309593118,0.290443667849382,0.16086972601308466,0.4493304064022324,-0.12274951368246811,0.10662132280892636,-0.6838583936573853
10,long_flat,High,gross_map_vs_passive,1966,-1.9242082528452774e-05,-0.004849004797170099,0.011637606195496326,0.18474127109632685,-0.026247544841465097,-0.07331286179798091,-0.08698656123136006,0.10200069816690704,-0.4069260061523241
10,long_flat,High,net_map_vs_passive,1966,-9.717869316548829e-06,-0.0024489030677703047,0.011645235818676178,0.18486238760951298,-0.013247167795664046,-0.037001090489954244,-0.08698656123136006,0.10225069816690704,-0.402666229043379
10,long_flat,High,net_map_vs_zero,1966,0.00017569321508490148,0.04427469020139517,0.014206373690602939,0.2255191909043174,0.1963233817213361,0.5483571525939782,-0.07726115410450324,0.10394829178267337,-0.5324995220357006
10,long_short,Low,gross_strategy_return,1979,0.00011889566420525043,0.029961707379723108,0.016321855735277273,0.2591014272637017,0.11563698315420484,0.324055487095927,-0.11445135854247973,0.08046004159069958,-0.49257707669621353
