ma_window,version,return_col,low_activity_hml_mean_ann,mid_activity_hml_mean_ann,high_activity_hml_mean_ann,high_minus_low_activity_hml_mean_ann,high_minus_low_activity_hml_t_stat,high_minus_low_activity_hml_sharpe,attenuation_n_obs,activity_effect_flag,interaction_coef,interaction_std_err_hc1,interaction_t_stat_hc1,regression_n_obs,regression_r2,regression_activity_effect_flag,combined_activity_effect_flag
10,long_flat,net_map_vs_passive,0.017151672536004654,-0.055004739345404174,-0.0024489030677703047,0.02481870687920373,0.24604152974895477,0.09907935751507947,1554,WEAK_ENHANCEMENT,0.00013058622250572535,0.00014644766559697832,0.8916920728876389,36697,5.18403602525197e-05,WEAK_ENHANCEMENT,WEAK_ENHANCEMENT
10,long_flat,net_map_vs_zero,0.012476684666861446,-0.031843375515492885,0.04427469020139517,0.010117993541505495,0.0914181339155655,0.03681350048027901,1554,WEAK_ENHANCEMENT,0.0001408250240078806,0.00017088300955812413,0.8241019652687027,36697,0.0001522757404115449,WEAK_ENHANCEMENT,WEAK_ENHANCEMENT
10,long_flat,net_strategy_return,0.012476684666861446,-0.031843375515492885,0.04427469020139517,0.010117993541505495,0.0914181339155655,0.03681350048027901,1554,WEAK_ENHANCEMENT,0.0001408250240078806,0.00017088300955812413,0.8241019652687027,36697,0.0001522757404115449,WEAK_ENHANCEMENT,WEAK_ENHANCEMENT
10,long_short,net_map_vs_passive,0.03430334507200931,-0.11000947869080835,-0.004897806135540603,0.04963741375840746,0.24604152974895477,0.09907935751507947,1554,WEAK_ENHANCEMENT,0.0002611724450114507,0.00029289533119395664,0.8916920728876389,36697,5.18403602525197e-05,WEAK_ENHANCEMENT,WEAK_ENHANCEMENT
10,long_short,net_map_vs_zero,0.02962835720286614,-0.08684811486089707,0.04182578713362487,0.034936700420709246,0.22303171940237312,0.08981345338901874,1554,WEAK_ENHANCEMENT,0.00027141124651360585,0.00022507984275731965,1.2058443047973895,36697,0.00012021050119559451,WEAK_ENHANCEMENT,WEAK_ENHANCEMENT
10,long_short,net_strategy_return,0.02962835720286614,-0.08684811486089707,0.04182578713362487,0.034936700420709246,0.22303171940237312,0.08981345338901874,1554,WEAK_ENHANCEMENT,0.00027141124651360585,0.00022507984275731965,1.2058443047973895,36697,0.00012021050119559451,WEAK_ENHANCEMENT,WEAK_ENHANCEMENT
20,long_flat,net_map_vs_passive,0.058665946834130143,-0.0050446853031151755,0.008414803357160485,-0.010553660007052565,-0.10764108658608157,-0.043346380231239434,1554,WEAK_ATTENUATION,-3.5222478697715015e-05,0.00014805990135942324,-0.23789343619924874,36697,2.1251195589822025e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
20,long_flat,net_map_vs_zero,0.053990958964986936,0.018116678526796107,0.05513839662632595,-0.025254373344750766,-0.22447226959216357,-0.09039355377864927,1554,WEAK_ATTENUATION,-2.4983677195559877e-05,0.0001694417882267376,-0.14744696368600707,36697,9.984687967934391e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
20,long_flat,net_strategy_return,0.053990958964986936,0.018116678526796107,0.05513839662632595,-0.025254373344750766,-0.22447226959216357,-0.09039355377864927,1554,WEAK_ATTENUATION,-2.4983677195559877e-05,0.0001694417882267376,-0.14744696368600707,36697,9.984687967934391e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
20,long_short,net_map_vs_passive,0.11733189366826029,-0.010089370606230351,0.01682960671432097,-0.02110732001410513,-0.10764108658608157,-0.043346380231239434,1554,WEAK_ATTENUATION,-7.044495739542999e-05,0.0002961198027188465,-0.2378934361992486,36697,2.1251195589822025e-05,WEAK_ATTENUATION,WEAK_ATTENUATION
